feature,bucket,horizon_d,sample_count,is_underpowered,mean_return,median_return,winsorized_mean_return_5pct,std_return,hit_rate,p10_return,p90_return,mean_simple_net_return,mean_close_mae,mean_close_mfe,universe
ma20_reclaim_confirmed,10+,5,2333,false,0.006250794787864869,0.0,0.0031873878207718323,0.07230870854461963,0.4787826832404629,-0.06318517978501942,0.08105534105534111,0.0004007947878648701,-0.024038492278058973,0.031957533674602294,all
ma20_reclaim_confirmed,3-5,5,915,false,0.007783739420084792,0.0013140604467805073,0.005453308512260055,0.06328247533973594,0.5027322404371585,-0.05639678297959809,0.08223818932998031,0.00193373942008479,-0.020324159286782176,0.029924002198769454,all
ma20_reclaim_confirmed,6-10,5,1001,false,0.0032730029369651254,0.0,0.0010723062435294417,0.06130513955929365,0.4935064935064935,-0.061433447098976135,0.0745272525027807,-0.0025769970630348748,-0.022879402166002916,0.026824998287974716,all
ma20_reclaim_confirmed,0,10,6988,false,0.011220931021962179,0.005397803973669513,0.007826014844481144,0.0809127269765054,0.5369204350314826,-0.0714285714285714,0.09669025062957196,0.00537093102196218,-0.03597353362300315,0.042507820719700655,all
ma20_reclaim_confirmed,1-2,10,717,false,0.014909403279050366,0.0,0.005985582146723794,0.09928907282318385,0.497907949790795,-0.06607192046466595,0.09391205182008945,0.00905940327905037,-0.034715242730780874,0.04842053740109081,all
ma20_reclaim_confirmed,10+,10,2331,false,0.01757509906068325,0.004608294930875667,0.01134061243828336,0.09916518680402327,0.525954525954526,-0.07547169811320753,0.12293577981651382,0.011725099060683251,-0.03682011490633054,0.05580284236444203,all
ma20_reclaim_confirmed,3-5,10,915,false,0.017614286407435988,0.00858778625954204,0.01343182222699098,0.08700707508352579,0.5508196721311476,-0.06823414431634386,0.11500840099653208,0.011764286407435987,-0.03286605146436707,0.05422241714159569,all
ma20_reclaim_confirmed,6-10,10,1001,false,0.014754499846277391,0.0016528925619834212,0.008516013968821365,0.08914766112026597,0.5064935064935064,-0.06985294117647056,0.10849056603773577,0.008904499846277392,-0.03389351382513935,0.050115490447102194,all
ma20_reclaim_confirmed,0,20,6967,false,0.017143853837896378,0.00658616904500553,0.010682398540988724,0.11730744919297312,0.5329410076072916,-0.10072546370039333,0.14065915300546455,0.011293853837896377,-0.05394482509700346,0.07130417722615172,all
ma20_reclaim_confirmed,1-2,20,717,false,0.02527116719799406,0.0039447731755424265,0.012096852396098874,0.14599474542368981,0.5118549511854951,-0.09493984376962299,0.1329462292137105,0.019421167197994065,-0.0508911818928306,0.08152049756763631,all
ma20_reclaim_confirmed,10+,20,2315,false,0.025429003083477536,0.0027932960893854997,0.013563542330463394,0.1486967561610141,0.5084233261339093,-0.11317887777492805,0.18726792643591916,0.019579003083477535,-0.056913036377084225,0.09108904202319455,all
ma20_reclaim_confirmed,3-5,20,914,false,0.02333979703662506,0.005096716195829631,0.015136077026348742,0.13165485638088104,0.5306345733041575,-0.10991139240506324,0.17753664572625175,0.017489797036625062,-0.04973519946670385,0.08463814662690203,all
ma20_reclaim_confirmed,6-10,20,1000,false,0.026581977054253556,0.004316744313765608,0.01598673098107323,0.1339240194155009,0.516,-0.10122997484443265,0.17167175905718032,0.02073197705425356,-0.05077643138696524,0.08322200343442242,all
ma20_reclaim_confirmed,0,5,1,true,0.15254237288135597,0.15254237288135597,,,1.0,,,0.14669237288135598,0.008474576271186418,0.27966101694915246,top200
ma20_reclaim_confirmed,10+,5,1,true,0.2972027972027973,0.2972027972027973,,,1.0,,,0.2913527972027973,0.09965034965034958,0.2972027972027973,top200
ma50_reclaim_confirmed,0,5,7004,false,0.003060457723872553,0.0028923856848869223,0.002719384878526113,0.05814187221259773,0.519131924614506,-0.05737324595953909,0.06198433909268878,-0.0027895422761274437,-0.024303916984104976,0.022528713123429384,all
ma50_reclaim_confirmed,1-2,5,427,false,0.004098250079583193,-0.002293577981651418,0.0002303842858189827,0.0631108240884679,0.4496487119437939,-0.05522544199184014,0.06342815967718704,-0.0017517499204168072,-0.02000528210126427,0.027276687366969518,all
ma50_reclaim_confirmed,10+,5,3426,false,0.0047789113062827356,0.0,0.00251854128254583,0.0711300650553948,0.4900758902510216,-0.06726172861988117,0.08018342648232968,-0.0010710886937172648,-0.025744669413492495,0.029703012171467525,all
ma50_reclaim_confirmed,3-5,5,408,false,0.008657393714072448,0.003369448068523462,0.005407742492827646,0.06401671558935979,0.5343137254901961,-0.05407128692734023,0.08086891757696134,0.0028073937140724405,-0.017739032917663846,0.03329116765521508,all
ma50_reclaim_confirmed,6-10,5,693,false,0.00500902335470568,-0.002081165452653466,0.0019872703423299354,0.06432975616183799,0.468975468975469,-0.054051657244207796,0.07276268755752474,-0.0008409766452943197,-0.021239131660531957,0.02839035895616413,all
ma50_reclaim_confirmed,0,10,7001,false,0.011205866843765863,0.004854368932038833,0.007441196227846497,0.08052982502517225,0.5342093986573346,-0.07086614173228345,0.09479553903345717,0.005355866843765864,-0.03517258066686271,0.0423266440798625,all
ma50_reclaim_confirmed,1-2,10,427,false,0.010766095313617297,0.0016393442622950616,0.006316858428401812,0.0711894476039709,0.5105386416861827,-0.05917633357105114,0.09092442645074217,0.0049160953136173045,-0.03142539363239462,0.04422906922158285,all
