date,cash,positions_value,equity,n_positions,exposure_pct
2025-01-17,1119616.4556141081,0.0,1119616.4556141081,0,0.0
2025-01-20,1119616.4556141081,0.0,1119616.4556141081,0,0.0
2025-01-21,1119616.4556141081,0.0,1119616.4556141081,0,0.0
2025-01-22,1119616.4556141081,0.0,1119616.4556141081,0,0.0
2025-02-03,895374.0738014365,223923.29112282163,1119297.364924258,1,20.005701624963116
2025-02-04,895374.0738014365,223031.16645699364,1118405.2402584301,1,19.941892118232367
2025-02-05,895374.0738014365,224815.4157886496,1120189.489590086,1,20.069409495255748
2025-02-06,895374.0738014365,224815.4157886496,1120189.489590086,1,20.069409495255748
2025-02-07,895374.0738014365,224815.4157886496,1120189.489590086,1,20.069409495255748
2025-02-10,671195.6010675814,447782.7641076733,1118978.3651752546,2,40.01710650031571
2025-02-11,671195.6010675814,447225.2062671132,1118420.8073346945,2,39.987203683459214
2025-02-12,671195.6010675814,449232.44661406125,1120428.0476816427,2,40.09471625987943
2025-02-13,671195.6010675814,449734.21654963336,1120929.8176172148,2,40.12153209606319
2025-02-14,671195.6010675814,446667.64842655323,1117863.2494941347,2,39.95727103728325
2025-02-17,671195.6010675814,451462.6779763014,1122658.2790438829,2,40.21372187811163
2025-02-18,671195.6010675814,450682.1291204493,1121877.7301880307,2,40.172125445873085
2025-02-19,446891.1665292097,672715.9322277033,1119607.098756913,3,60.08500061982566
2025-02-20,446891.1665292097,673731.3216151684,1120622.4881443782,3,60.12116736393447
2025-02-21,446891.1665292097,677075.803701002,1123966.9702302117,3,60.23983103011674
2025-02-24,446891.1665292097,676835.5511923217,1123726.7177215314,3,60.23133031531667
2025-02-25,446891.1665292097,676938.4159532738,1123829.5824824835,3,60.234970364274496
2025-02-26,446891.1665292097,682249.3384646853,1129140.504993895,3,60.42200553848469
2025-02-27,446891.1665292097,678975.6322674572,1125866.7987966668,3,60.30692378469198
2025-03-03,667899.5872265063,458153.53266768134,1126053.1198941877,2,40.68667139883533
2025-03-04,667899.5872265063,455198.3797499174,1123097.9669764237,2,40.53060312943057
2025-03-05,667899.5872265063,452745.15737238526,1120644.7445988916,2,40.40041766621007
2025-03-06,667899.5872265063,455588.7344801733,1123488.3217066796,2,40.5512657032423
2025-03-07,1117586.707026796,0.0,1117586.707026796,0,0.0
2025-03-10,1117586.707026796,0.0,1117586.707026796,0,0.0
2025-03-11,1117586.707026796,0.0,1117586.707026796,0,0.0
2025-03-12,1117586.707026796,0.0,1117586.707026796,0,0.0
2025-03-13,1117586.707026796,0.0,1117586.707026796,0,0.0
2025-03-14,1117586.707026796,0.0,1117586.707026796,0,0.0
2025-03-17,1117586.707026796,0.0,1117586.707026796,0,0.0
2025-03-18,1117586.707026796,0.0,1117586.707026796,0,0.0
2025-03-19,1117586.707026796,0.0,1117586.707026796,0,0.0
2025-03-20,1117586.707026796,0.0,1117586.707026796,0,0.0
2025-03-21,1117586.707026796,0.0,1117586.707026796,0,0.0
2025-03-24,1117586.707026796,0.0,1117586.707026796,0,0.0
2025-03-25,1117586.707026796,0.0,1117586.707026796,0,0.0
